YEAR,OVERALL PICK,NBA TEAM,PLAYER NAME,COLLEGE TEAM,CITY,STATE,CONFERENENCE
2000,1,NJN,Kenyon Martin,Cincinnati,Cincinnati,OH,American Athletic Conference
2000,2,VAN,Stromile Swift,Louisiana State,Baton Rouge,LA,Southeastern Conference
2000,3,LAC,Darius Miles,Did not Attend College in U.S.,N/A,N/A,N/A
2000,4,CHI,Marcus Fizer,Iowa State,Ames,IA,Big 12 Conference
2000,5,ORL,Mike Miller,Florida,Gainesville,FL,Southeastern Conference
2000,6,ATL,DerMarr Johnson,Cincinnati,Cincinnati,OH,American Athletic Conference
2000,7,CHI,Chris Mihm,Texas,Austin,TX,Big 12 Conference
2000,8,CLE,Jamal Crawford,Michigan,Ann Arbor,MI,Big Ten Conference
2000,9,HOU,Joel Przybilla,Minnesota,Minneapolis,MN,Big Ten Conference
2000,10,ORL,Keyon Dooling,Missouri,Columbia,MO,Southeastern Conference
2000,11,BOS,Jerome Moiso,UCLA,Los Angeles,CA,Pacific-12 Conference
2000,12,DAL,Etan Thomas,Syracuse,Syracuse,NY,American Athletic Conference
2000,13,ORL,Courtney Alexander,Fresno State,Fresno,CA,Western Athletic Conference
2000,14,DET,Mateen Cleaves,Michigan State,East Lansing,MI,Big Ten Conference
2000,15,MIL,Jason Collier,Georgia Tech,Atlanta,GA,Atlantic Coast Conference
2001,1,WAS,Kwame Brown,Did not Attend College in U.S.,N/A,N/A,N/A
2001,2,LAC,Tyson Chandler,Did not Attend College in U.S.,N/A,N/A,N/A
2001,3,ATL,Pau Gasol,Did not Attend College in U.S.,N/A,N/A,N/A
2001,4,CHI,Eddy Curry,Did not Attend College in U.S.,N/A,N/A,N/A
2001,5,GSW,Jason Richardson,Michigan State,East Lansing,MI,Big Ten Conference
2001,6,MEM,Shane Battier,Duke,Durham,NC,Atlantic Coast Conference
2001,7,NJN,Eddie Griffin,Seton Hall,South Orange,NJ,Big East Conference
2001,8,CLE,DeSagana Diop,Did not Attend College in U.S.,N/A,N/A,N/A
2001,9,DET,Rodney White,UNC Charlotte,Charlotte,NC,Conference USA
